id,name,gender
19552,Rolfe Sedan,2
13361,Edwin Maxwell,2
19553,Richard Carle,2
120701,George Davis,2
3346,Dorothy Adams,2
1420615,Monya Andre,0
1331754,Nino Bellini,0
1144689,Wilda Bennett,0
1062837,Symona Boniface,0
1468209,Frederika Brown,0
1471655,Emilie Cabanne,0
236567,Paul Ellis,0
121331,Fred Farrell,0
1471656,Frank Fletcher,0
81941,Mary Forbes,1
34472,Jody Gilbert,0
13343,Lawrence Grant,0
1280469,Jennifer Gray,0
977271,Winifred Harris,1
1471657,Ray Hendricks,0
97225,William Irving,2
123573,Hans Joby,0
96053,Charles Judels,2
128160,Armand Kaliz,0
2428,Ernst Lubitsch,2
102363,Peggy Moran,1
1349731,Sandra Morgan,0
1471658,Lucille Pinson,0
1176507,Albert Pollet,2
3245,Frank Reicher,2
148402,Constantine Romanoff,2
1317199,Alexander Schoenberg,0
116307,Harry Semels,0
85486,Tamara Shayne,1
955108,Florence Shirley,1
120703,George Sorel,0
33705,Edwin Stanley,2
178336,Kay Stewart,1
30272,George Tobias,2
1015446,Jacques Vanaire,0
1269196,Ellinor Vanderveer,1
14035,Paul Weigel,2
1471660,Elizabeth Williams,0
956444,Marek Windheim,2
29124,Wolfgang Zilzer,2
30181,Fred Astaire,2
30003,Ginger Rogers,1
2437,Edward Everett Horton,2
30185,Helen Broderick,1
30183,Erik Rhodes,2
30184,Eric Blore,0
40174,Lucille Ball,1
9096,Gino Corrado,0
14261,David Niven,2
29518,Cantinflas,2
10027,Finlay Currie,2
6599,Robert Morley,2
29519,Charles Boyer,2
29520,Robert Newton,2
29273,Gilbert Roland,0
2896,Marlene Dietrich,1
4347,Frank Sinatra,2
8635,Buster Keaton,2
8516,John Carradine,2
2094,Peter Lorre,2
29521,Tim McCoy,2
8730,Melville Cooper,2
3364,Reginald Denny,2
29522,Ronald Colman,2
12726,Trevor Howard,2
29523,Martine Carol,0
99461,Cedric Hardwicke,2
12718,Noël Coward,2
11857,John Gielgud,2
69958,Fernandel,2
11494,Evelyn Keyes,1
1093250,José Greco,0
4355,Cesar Romero,2
8240,Alan Mowbray,2
11169,Charles Coburn,2
105636,Red Skelton,2
14966,Andy Devine,2
99749,Edmund Lowe,2
30495,Victor McLaglen,2
11859,John Mills,2
20603,Hermione Gingold,1
1225821,Edward R. Murrow,0
111664,Ronald Squire,0
50998,Basil Sydney,2
1538212,Luis Miguel Dominguín,0
155252,Robert Cabal,2
14028,Jack Oakie,2
1221907,Beatrice Lillie,1
1473409,A.E. Matthews,0
52220,Walter Fitzgerald,2
104302,Ronald Adam,2
1447025,Frank Royde,0
1406724,Abdullah Abbas,0
1009324,Jesse Adams,2
947709,Fred Aldrich,2
185001,Ray Armstrong,0
141070,Gertrude Astor,1
1550460,Walter Bacon,0
1671997,Rama Bai,0
121208,Leah Baird,1
1159355,Eugene Beday,0
1487467,Helena Benda,0
106571,Audrey Betz,1
1623341,George Blagoi,0
1204286,Eumenio Blanco,2
1673513,Nina Borget,0
1404180,Danny Borzage,0
153260,Hazel Boyne,1
1421080,George Bruggeman,0
1325395,Bob Burrows,2
178888,Paul Busch,2
1559270,Gordon Carveth,0
1047407,Spencer Chan,2
120217,Jack Chefe,2
1178611,Sing Chen,0
1600501,Dick Cherney,0
1624551,Bud Cokes,2
1672199,Louise Colombet,0
161764,Bill Couch,2
1662018,Paul Cristo,2
1467074,Roy Damron,0
1658841,Eddie Das,0
120738,John Davidson,2
64860,Jack Davies,0
34443,Jack Davis,2
1198584,Anna De Linsky,0
1209184,Gloria Dea,0
1262288,John Deauville,0
1422434,Harry Denny,0
930167,Joe Dougherty,0
1429399,Dan Dowling,0
1676504,Harry Duff,2
1331759,Arthur Dulac,0
1421810,Charles Dunbar,0
1518743,Renald Dupont,0
151630,Larry Duran,2
89522,Minta Durfee,0
1550942,Jack Ellis,0
1468354,Richard Elmore,0
1422177,Frank Erickson,0
337275,Bob Evans,2
1525716,Harry Evans,0
975597,Franklyn Farnum,2
997985,Art Felix,0
1176933,Grace Field,0
988134,Sam Finn,2
1186930,Frances Fong,0
43857,Helen Foster,1
30956,Jesús Franco,2
152706,Ben Frommer,0
1471681,Curt Furburg,0
1315621,Joe Garcio,0
1422179,Joe Gilbert,0
1281295,Mary Ellen Gleason,0
1422180,June Glory,0
1683451,Albert Godderis,0
1468520,James Gonzalez,0
1031916,Carmelita González,1
120746,Dick Gordon,2
131057,Bernie Gozier,2
1142516,William Graeff Jr.,2
78744,Donald Gray,2
1181275,Kit Guard,0
1506410,Paul Gustine,0
170562,Herman Hack,2
1419570,Robert Haines,0
137260,Stuart Hall,0
1276748,Chick Hannan,0
1617619,Silver Harr,0
1191019,Clarence Hennecke,2
1507184,Lars Hensen,2
1374381,George Hickman,0
25579,Chuck Hicks,2
119542,Stuart Holmes,2
1420348,Hans Hopf,0
1581072,Jimmie Horan,2
545513,Yoneo Iguchi,0
154432,Allen Jaffe,2
1226742,Robert James,2
1422183,Dolly Jarvis,0
1471682,Michael Jeffers,2
1183967,Leroy Johnson,0
1505860,Dick Johnstone,2
1624660,Harvey Karels,0
1271657,Willie Keeler,0
1317628,Jack Kenny,2
117035,Al Kikume,2
128179,Max Kleven,2
119486,Paul Kruger,0
1145704,Ann Kunde,0
1147313,Jeanne Lafayette,0
1600059,Richard LaMarr,0
230884,Alfredo Landa,2
1546041,Jack Lee,0
153573,Virginia Ann Lee,0
1271642,Harry Leroy,0
1353645,Carl M. Leviness,0
1144394,Shirley Lew,0
1319966,Tien-Lang Li,0
1443706,Baron James Lichter,0
1536284,Marco López,2
1238648,Casey MacGregor,0
952815,Joseph Marievsky,2
1465347,Johnny Marlin,0
1417927,Thomas Martin,2
1421032,Marie Melesh,0
171111,Harold Miller,2
30898,Gordon Mitchell,2
1371322,King Mojave,0
18585,Joe Molina,0
1422112,Ernesto Molinari,0
100800,Clive Morgan,0
1064925,Charles Morton,2
1550447,Sol Murgi,0
135134, Frank Nagai,0
148853,George Nardelli,0
148852,Barry Norton,0
122058,Faye Michael Nuell,0
1072934,Daniel Nunez,0
1176510,William H. O'Brien,2
1368758,Monty O'Grady,0
1422376,Lillian O'Malley,0
1466161,Kent Odell,0
1060036,Yasuzô Ogawa,0
1221198,Bob Okazaki,0
1231235,Victor Paul,2
1569740,Charles Pendelton,0
1359743,Elsa Peterson,0
1193340,Joe Ploski,0
1468553,Byron Poindexter,0
1420892,Lucille Porcett,0
1728594,Don Pulford,0
1242437,Bill Raisch,0
120200,Bob Reeves,2
1400041,Max Reid,0
1511945,Waclaw Rekwart,0
1671472,Peggy Remington,0
1220332,David Richardson,0
1244482,Buddy Roosevelt,0
1538074,George Ross,0
198065,Joe E. Ross,0
1112109,Tony Roux,2
1462194,John Roy,0
120214,Dick Ryan,2
1671167,Loulette Sablon,0
1578504,Danny Sands,0
1537729,Cosmo Sardo,0
1180927,Sam Savitsky,0
179327,Jeffrey Sayre,2
1472990,Charles Schaeffer,0
1574696,Fred Scheiwiller,0
589228,Eddie Searles,2
1662013,Bernard Sell,0
1549831,Sammy Shack,0
1466134,Leslie Sketchley,0
1679263,June Smaney,0
1595381,Mabel Smaney,1
1432661,J. Lewis Smith,0
1536134,Charles Soldani,0
1469580,Stephen Soldi,0
1471372,Kalu K. Sonkur,0
1597814,Hayward Soo Hoo,0
557533,Walter Soo Hoo,0
30515,Ray Spiker,0
1170325,Robert St. Angelo,0
1488718,John Starck,0
122067,Norman Stevans,0
1120620,Jack Stoney,2
1729246,Ramón Sánchez,0
1132779,Mike Tellegen,2
1468449,Lillian Ten Eyck,0
1422281,Jack Tornek,0
107540,Michael Trubshawe,2
1467881,Tony Urchel,0
572525,Sailor Vincent,0
100798,Sally Yarnell,1
1074154,William Yokota,0
34469,Mary Young,1
29309,Patrick Cargill,0
1069916,Richard Aherne,2
